TRATAMENTOS,Aphelinidae sp 01,Aphelinidae sp 02,Aphelinidae sp 03,Aphelinidae sp 04,Aphelinidae sp 05,Aphelinidae sp 06,Aphelinidae sp 07,Aphelinidae sp 08,Aphelinidae sp 09,Aphelinidae sp 10,Aphelinidae sp 13,Aphelinidae sp 14,Aphelinidae sp 15,Aphelinidae sp 16,Aphelinidae sp 17,Aphelinidae sp 18,Aphelinidae sp 19,Aphelinidae sp 20,Aphelinidae sp 21,Aphelinidae sp 22,Aphelinidae sp 26,Aphelinidae sp 27,Aphelinidae sp 28,Aphelinidae sp 30,Aphelinidae sp 32,Bethylidae sp 01,Bethylidae sp 02,Bethylidae sp 03,Bethylidae sp 04,Bethylidae sp 05,Bethylidae sp 07,Bethylidae sp 08,Bethylidae sp 10,Bethylidae sp 11,Bethylidae sp 12,Braconidae sp 01,Braconidae sp 02,Braconidae sp 03,Braconidae sp 04,Braconidae sp 05,Braconidae sp 06,Braconidae sp 07,Braconidae sp 08,Braconidae sp 09,Braconidae sp 10,Braconidae sp 11,Braconidae sp 12,Braconidae sp 13,Braconidae sp 14,Braconidae sp 15,Braconidae sp 16,Braconidae sp 17,Braconidae sp 18,Braconidae sp 20,Braconidae sp 21,Braconidae sp 23,Braconidae sp 24,Braconidae sp 25,Braconidae sp 27,Braconidae sp 28,Braconidae sp 29,Braconidae sp 30,Braconidae sp 31,Braconidae sp 34,Braconidae sp 36,Braconidae sp 37,Braconidae sp 38,Braconidae sp 41,Ceraphonidae sp 01,Ceraphonidae sp 03,Ceraphonidae sp 04,Ceraphonidae sp 05,Ceraphonidae sp 06,Ceraphronidae sp 01,Ceraphronidae sp 02,Ceraphronidae sp 03,Ceraphronidae sp 04,Ceraphronidae sp 06,Ceraphronidae sp 07,Ceraphronidae sp 08,Ceraphronidae sp 09,Ceraphronidae sp 10,Ceraphronidae sp 12,Ceraphronidae sp 13,Ceraphronidae sp 19,Chalcididae sp 01,Chalcididae sp 02,Chalcididae sp 03,Chalcididae sp 04,Chalcididae sp 05,Diapriidae sp 01,Diapriidae sp 02,Diapriidae sp 03,Diapriidae sp 04,Diapriidae sp 05,Diapriidae sp 06,Diapriidae sp 07,Diapriidae sp 08,Diapriidae sp 09,Diapriidae sp 11,Diapriidae sp 12,Diapriidae sp 13,Diapriidae sp 14,Diapriidae sp 15,Diapriidae sp 16,Diapriidae sp 18,Drynidae sp 01,Drynidae sp 02,Drynidae sp 03,Drynidae sp 04,Encyrtidae sp 01,Encyrtidae sp 02,Encyrtidae sp 03,Encyrtidae sp 04,Encyrtidae sp 05,Encyrtidae sp 06,Encyrtidae sp 07,Encyrtidae sp 08,Encyrtidae sp 09,Encyrtidae sp 10,Encyrtidae sp 11,Encyrtidae sp 12,Encyrtidae sp 13,Encyrtidae sp 14,Encyrtidae sp 15,Encyrtidae sp 16,Encyrtidae sp 17,Encyrtidae sp 18,Encyrtidae sp 19,Encyrtidae sp 20,Encyrtidae sp 21,Encyrtidae sp 22,Encyrtidae sp 23,Encyrtidae sp 24,Encyrtidae sp 25,Encyrtidae sp 26,Encyrtidae sp 28,Encyrtidae sp 30,Encyrtidae sp 31,Encyrtidae sp 32,Encyrtidae sp 33,Encyrtidae sp 34,Encyrtidae sp 35,Encyrtidae sp 36,Encyrtidae sp 37,Encyrtidae sp 38,Encyrtidae sp 39,Encyrtidae sp 40,Encyrtidae sp 41,Encyrtidae sp 42,Encyrtidae sp 43,Encyrtidae sp 44,Encyrtidae sp 45,Encyrtidae sp 46,Encyrtidae sp 47,Encyrtidae sp 48,Encyrtidae sp 49,Encyrtidae sp 50,Encyrtidae sp 51,Encyrtidae sp 52,Encyrtidae sp 53,Encyrtidae sp 55,Encyrtidae sp 56,Encyrtidae sp 59,Eulophidae sp 01,Eulophidae sp 02,Eulophidae sp 03,Eulophidae sp 04,Eulophidae sp 05,Eulophidae sp 06,Eulophidae sp 07,Eulophidae sp 12,Eulophidae sp 13,Eulophidae sp 15,Eulophidae sp 16,Eulophidae sp 17,Eulophidae sp 19,Eulophidae sp 20,Eulophidae sp 21,Eulophidae sp 22,Eulophidae sp 23,Eulophidae sp 24,Eulophidae sp 25,Eulophidae sp 26,Eulophidae sp 27,Eulophidae sp 29,Eulophidae sp 31,eulophidae sp 33,Eupelmidae sp 01,Eupelmidae sp 02,Evaniidae sp 01,Evaniidae sp 03,Figitidae sp 01,Figitidae sp 02,Figitidae sp 03,Figitidae sp 04,Figitidae sp 05,Figitidae sp 06,Ichneumonidae sp 01,Ichneumonidae sp 02,Ichneumonidae sp 03,Ichneumonidae sp 04,Ichneumonidae sp 05,Ichneumonidae sp 06,Ichneumonidae sp 07,Ichneumonidae sp 08,Ichneumonidae sp 09,Ichneumonidae sp 10,Ichneumonidae sp 11,Ichneumonidae sp 13,Ichneumonidae sp 14,Ichneumonidae sp 18,Ichneumonidae sp 19,Ichneumonidae sp 20,Ichneumonidae sp 21,Ichneumonidae sp 22,Ichneumonidae sp 23,Ichneumonidae sp 26,Ichneumonidae sp 28,Ichneumonidae sp 29,Ichneumonidae sp 30,Ichneumonidae sp 31,Ichneumonidae sp 32,Ichneumonidae sp 33,Ichneumonidae sp 34,Ichneumonidae sp 35,Ichneumonidae sp 38,Ichneumonidae sp 39,Megaspilidae sp 01,Megaspilidae sp 02,Megaspilidae sp 03,Megaspilidae sp 04,Monomachidae sp 01,Monomachidae sp 02,Monomachidae sp 04,Mymaridae sp 01,Mymaridae sp 02,Mymaridae sp 03,Mymaridae sp 04,Mymaridae sp 05,Mymaridae sp 06,Mymaridae sp 07,Mymaridae sp 08,Mymaridae sp 09,Mymaridae sp 10,Mymaridae sp 11,Mymaridae sp 12,Mymaridae sp 13,Mymaridae sp 14,Mymaridae sp 15,Mymaridae sp 16,Mymaridae sp 17,Mymaridae sp 18,Mymaridae sp 19,Mymaridae sp 21,Mymaridae sp 22,Mymaridae sp 23,Mymaridae sp 24,Mymaridae sp 25,Mymaridae sp 26,Mymaridae sp 27,Mymaridae sp 28,Mymaridae sp 29,Mymaridae sp 30,Mymaridae sp 31,Mymaridae sp 32,Mymaridae sp 33,Mymaridae sp 34,Mymaridae sp 38,Mymaridae sp 39,Mymaridae sp 41,Mymaridae sp 44,Mymaridae sp 45,Mymaridae sp 48,Platygastridae sp 01,Platygastridae sp 02,Platygastridae sp 03,Platygastridae sp 05,Platygastridae sp 06,Platygastridae sp 08,Platygastridae sp 09,Pompilidae sp 01,Pompilidae sp 03,Pompilidae sp 04,Pompilidae sp 05,Pompilidae sp 06,Pompilidae sp 07,Pompilidae sp 08,Pompilidae sp 09,Pompilidae sp 10,Pompilidae sp 13,Pteromalidae sp 01,Pteromalidae sp 02,Pteromalidae sp 03,Pteromalidae sp 04,Pteromalidae sp 05,Pteromalidae sp 07,Pteromalidae sp 08,Pteromalidae sp 09,Pteromalidae sp 10,Pteromalidae sp 11,Pteromalidae sp 13,Pteromalidae sp 19,Pteromalidae sp 21,Pteromalidae sp 22,Pteromalidae sp 23,Pteromalidae sp 24,Pteromalidae sp 29,Scelionidae sp 01,Scelionidae sp 02,Scelionidae sp 03,Scelionidae sp 04,Scelionidae sp 05,Scelionidae sp 06,Scelionidae sp 07,Scelionidae sp 08,Scelionidae sp 09,Scelionidae sp 10,Scelionidae sp 11,Scelionidae sp 12,Scelionidae sp 13,Scelionidae sp 14,Scelionidae sp 15,Scelionidae sp 16,Scelionidae sp 17,Scelionidae sp 18,Scelionidae sp 20,Scelionidae sp 21,Scelionidae sp 22,Scelionidae sp 23,Scelionidae sp 25,Scelionidae sp 26,Scelionidae sp 27,Scelionidae sp 28,Scelionidae sp 29,Scelionidae sp 30,Scelionidae sp 32,Scelionidae sp 33,Scelionidae sp 34,Scelionidae sp 35,Scelionidae sp 38,Scelionidae sp 39,Scelionidae sp 48,Scelionidae sp 49,Scelionidae sp 50,Scelionidae sp 51,Scelionidae sp 53,Signiphoridae sp 01,Signiphoridae sp 02,Signiphoridae sp 03,Signiphoridae sp 04,Trichogramma sp 01,Trichogramma sp 02,Trichogramma sp 03,Trichogramma sp 04,Trichogramma sp 05,Trichogramma sp 06,Trichogramma sp 07
OANG-ODUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
OANG-ODUT,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
OANG-ODUT,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OANG-ODUT,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OANG-ODUT,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OANG-ODUT,0,2,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OANG-ODUT,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
OANG-ODUT,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OANG-ODUT,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
OANG-ODUT,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
